counter,counter_edited
Archibald Park Cyclists,Archibald Park 
Beach Road Cyclists,Beach Road 
Carlton Gore Cycle Counter Cyclists,Carlton Gore 
Curran St total,Curran St total
Curran Street Total,Curran St total
Curran Street Total Cyclists,Curran St total
Dominion Road (near View Rd) Total Cyclists,Dominion Road 
Dominion Road Total Cyclists,Dominion Road 
East Coast Road Cyclists,East Coast Road 
East_Coast_Road Cyclists,East Coast Road 
GI TO TAMAKI DR SECTION-1 Cyclists,Glen Innes 
Glen Innes (Te Ara ki Uta ki Tai),Glen Innes 
Grafton Bridge Cyclists,Grafton  
Grafton Gully Cyclists,Grafton  
Grafton Road Cyclists,Grafton  
Great North Rd,Great North Road
Great North Rd Total,Great North Road
Great North Road Cyclists,Great North Road
Great South Road Total,Great South Road 
Great South Road Total Cyclists,Great South Road 
HighBrook Cyclists,HighBrook 
Hopetoun Street Cyclists,Hopetoun St
Karangahape Road Cyclists,Karangahape Road 
Lagoon Drive Cyclists,Lagoon Drive 
Lagoon_Drive Cyclists,Lagoon Drive 
Lake Road Total,Lake Road 
Lake Road Total Cyclists,Lake Road 
Mangere Bridge Cyclists,Mangere Bridge 
Mangere Safe Routes Cyclists,Mangere Bridge 
Matakana Cyclists,Matakana 
Nelson Street Cyclists,Nelson St 
Nelson Street Lightpath Counter Cyclists,Nelson St 
NW Cycleway Kingsland Cyclists,NW Cycleway Kingsland 
NW Cycleway TeAtatu Cyclists,NW Cycleway TeAtatu
Oceanview Rd Waiheke Cyclists,Oceanview Road Waiheke 
Orewa Path Cyclists,Orewa Path 
Ormiston Rd Total Cyclists,Ormiston Road  
Pukekohe - Queen St Cyclists,Queen St 
,Quay St Spark Arena 
Quay St Totem UZELT Cyclists,Quay St Totem 
Quay St Vector Arena,Quay St Spark Arena 
Quay Street Spark Arena Total,Quay St Spark Arena 
Quay Street Totem Cyclists,Quay St Totem 
Rankin Ave Cyclists,Rankin Ave 
Saint Lukes Rd Total,Saint Lukes Road 
SH20 Dominion Road Cyclists,SH20 Dominion Road 
SH20A path (sth of Kirkbride Rd),SH20A path
SW Shared Path Cyclists,SW Shared Path 
Symonds St Total,Symonds St 
Symonds St Total Cyclists,Symonds St 
Tamaki Dr total,Tamaki Dr 
Tamaki Drive Total,Tamaki Dr 
Tamaki Drive Total Cyclists,Tamaki Dr 
TeAtatu Peninsula Pathway Cyclists,TeAtatu Peninsula Pathway 
TeWero Bridge Bike Counter Cyclists,TeWero Bridge
Twin Streams Cyclists,Twin Streams
Upper Harbour  Cyclists,Upper Harbour  
Upper Harbour New Cyclists,Upper Harbour  
Upper Queen Street Cyclists,Upper Harbour  
Vic St Wst total,Victoria St
Victoria Street West Total Cyclists,Victoria St
Waterview SP Unitec,Unitec
Waterview Unitec Counter Cyclists,Unitec
